Fight,Question,Correct Answer,Points
Islam Makhachev vs Alexander Volkanovski,Winner of Main Event,,
Islam Makhachev vs Alexander Volkanovski,Method of Victory,,
Islam Makhachev vs Alexander Volkanovski,Round Prediction,,
Kamaru Usman vs Khamzat Chimaev,Winner of Co-Main Event,,
Kamaru Usman vs Khamzat Chimaev,Method of Victory,,
Kamaru Usman vs Khamzat Chimaev,Round Prediction,,
Magomed Ankalaev vs Johnny Walker,Winner,,
Magomed Ankalaev vs Johnny Walker,Method of Victory,,
Magomed Ankalaev vs Johnny Walker,Round Prediction,,
Ikram Aliskerov vs Warlley Alves,Winner,,
Ikram Aliskerov vs Warlley Alves,Method of Victory,,
Ikram Aliskerov vs Warlley Alves,Round Prediction,,
Said Nurmagomedov vs Muin Gafurov,Winner,,
Said Nurmagomedov vs Muin Gafurov,Method of Victory,,
Said Nurmagomedov vs Muin Gafurov,Round Prediction,,
Tim Elliott vs Muhammad Mokaev,Winner,,
Tim Elliott vs Muhammad Mokaev,Method of Victory,,
Tim Elliott vs Muhammad Mokaev,Round Prediction,,
